id;source;sample_name;suite_by_autor;classification_peate92;classification_peate97;latitude;longitude;elevation;localization;SiO2_nr;TiO2_nr;Al2O3_nr;FeO_nr;Fe2O3_nr;FeOt_nr;Fe2O3t_nr;MnO_nr;MgO_nr;CaO_nr;Na2O_nr;K2O_nr;P2O5_nr;LOI_nr;total_nr;SiO2;TiO2;Al2O3;Fe2O3t;MnO;MgO;CaO;Na2O;K2O;P2O5;total;Ti/Y;Ti/Zr;Zr/Y;Sr/Y;Ba/Y;Ba;Rb;Sr;Y;Zr;Nb;Ni;Cr;Sc;Co;La;Ce;Nd;Sm;Eu;Tb;Yb;Lu;Hf;Ta;Th;U;Pb;V;Cu;Zn;Ga;Cs;87Sr/86Sr_m;87Sr/86Sr_r;143Nd/144Nd_m;143Nd/144Nd_r;206Pb/204Pb_m;206Pb/204Pb_r;207Pb/204Pb_m;207Pb/204Pb_r;208Pb/204Pb_m;208Pb/204Pb_r;Coluna1;Coluna2
;Acosta. 2023;CB-06A;;;;"-28°7?32""";"-49°28'20""";1761;south;50.18;1.82;13.24;;;;15.03;0.21;4.79;8.29;2.6;1.19;0.19;2.1;99.64;51.45;1.87;13.57;15.41;0.22;4.91;8.5;2.67;1.22;0.19;100.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;CB-06B;;;;"-28°7?32""";"-49°28'20""";1761;south;51.16;1.99;12.31;;;;16.42;0.23;4.1;7.96;2.31;1.29;0.22;1.7;99.69;52.21;2.03;12.56;16.76;0.23;4.18;8.12;2.36;1.32;0.22;99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;AA-18A;;;;"-28°7?34""";"-49°28'52""";1755;south;50.01;1.81;13.4;;;;15.27;0.21;4.72;8.48;2.67;0.97;0.21;1.9;99.65;51.16;1.85;13.71;15.62;0.21;4.83;8.68;2.73;0.99;0.21;99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;AA-18BB;;;;"-28°7?34""";"-49°28'52""";1755;south;50.23;1.37;13.86;;;;14.32;0.21;6.28;10.46;2.36;0.5;0.12;0.0;99.71;50.38;1.37;13.9;14.36;0.21;6.3;10.49;2.37;0.5;0.12;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;AA-18BT;;;;"-28°7?34""";"-49°28'52""";1755;south;50.36;1.35;13.87;;;;14.19;0.21;6.27;10.46;2.38;0.5;0.13;0.0;99.72;50.5;1.35;13.91;14.23;0.21;6.29;10.49;2.39;0.5;0.13;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;CB-04;;;;"-28°7?45""";"-49°28'22""";1807;south;50.32;1.34;13.81;;;;14.31;0.21;6.15;10.4;2.43;0.52;0.12;1.8;101.41;50.52;1.35;13.86;14.37;0.21;6.17;10.44;2.44;0.52;0.12;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;CB-11;;;;"-28°8?10""";"-49°28'38""";1580;south;49.92;3.74;13.55;;;;13.37;0.18;4.35;8.28;2.78;1.57;0.49;1.3;99.53;50.82;3.81;13.79;13.61;0.18;4.43;8.43;2.83;1.6;0.5;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;CB-10;;;;"-28°8?10""";"-49°28'50""";1520;south;52.89;1.4;13.57;;;;13.06;0.19;4.65;8.49;2.64;0.97;0.18;1.7;99.74;53.95;1.43;13.84;13.32;0.19;4.74;8.66;2.69;0.99;0.18;99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Almeida. 2018;FM38   ;;;;;;;south;41.73;2.6;12.0;;;;12.14;0.21;9.21;12.19;2.4;3.2;0.7;2.59;98.97;43.3;2.69;12.45;12.6;0.22;9.56;12.65;2.49;3.32;0.73;100.01;664.99;83.12;8.0;49.21;70.25;1686.0;86.6;1181.0;24.0;192.0;54.8;142;266;;42;56.9;104.0;46.5;8.4;2.51;0.94;1.75;0.26;4.96;;7.53;1.53;14.7;333.0;98;94;;1.97;;;;;;;;;;;;
;Almeida. 2018;VA43   ;;;;;;;north;48.97;2.04;10.56;;;;13.54;0.23;9.04;10.76;1.8;1.51;0.44;0.42;99.3;49.52;2.06;10.68;13.69;0.23;9.14;10.88;1.82;1.53;0.44;99.99;718.94;102.71;7.0;40.53;36.47;620.0;36.4;689.0;17.0;119.0;26.6;90;328;;51;32.1;67.5;34.2;6.4;1.88;0.66;1.27;0.18;2.29;;2.89;0.64;5.25;363.0;29;90;;1.19;;;;;;;;;;;;
